GIF_ID,File_Name,Caption,Enhanced_Caption
2XskdWPH2WxnxfMnZAI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2XskdWPH2WxnxfMnZAI.gif,Happy Hour Drinking GIF,a woman in a dress sitting at a table
S5Pgd5fykea99hAm8r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/S5Pgd5fykea99hAm8r.gif,Michael J Fox Film GIF by BAFTA,a man in a suit and glasses is standing at a podium
PJTQJPEoWvuKY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PJTQJPEoWvuKY.gif,Cruel Intentions Parallels GIF,a woman in a dress standing in front of a crowd
ysoK6qc1xpNxm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ysoK6qc1xpNxm.gif,Scared Who Framed Roger Rabbit GIF,a cartoon character in a red dress and a white rabbit
asLOZFUdcYsfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/asLOZFUdcYsfK.gif,Howard The Duck 80S GIF,a white cat with a pink shirt
1310XHyc6yC6ju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1310XHyc6yC6ju.gif,Neverending Story Wink GIF,a stuffed animal laying on a floor
k90nbKSCPUfra,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/k90nbKSCPUfra.gif,classic west side story GIF,a woman in a purple dress
jPJz9s6VAqLLi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jPJz9s6VAqLLi.gif,Happy Chris Farley GIF,a man in a life vest
qUrOyBLlXGwXS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qUrOyBLlXGwXS.gif,Jennifer Lawrence Film GIF by Mic,a woman with long blonde hair and a white shirt
cuRKusHF9CfLK9ERCb,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/cuRKusHF9CfLK9ERCb.gif,Tom Cruise Stunt GIF by Mission: Impossible,a man in a suit and sunglasses is holding a gun
olzqYUAaUowBa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/olzqYUAaUowBa.gif,Scared The Road To El Dorado GIF,the princess and the prince
FcLy8GpsFyUog,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FcLy8GpsFyUog.gif,Fred Astaire GIF by Maudit,a man in a suit is dancing in a living room
