GIF_ID,File_Name,Caption,Enhanced_Caption,VADER_Emotion,BERT_Emotion
2XskdWPH2WxnxfMnZAI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2XskdWPH2WxnxfMnZAI.gif,Happy Hour Drinking GIF,a woman in a dress sitting at a table,Neutral,Happiness
S5Pgd5fykea99hAm8r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/S5Pgd5fykea99hAm8r.gif,Michael J Fox Film GIF by BAFTA,a man in a suit and glasses is standing at a podium,Neutral,Happiness
PJTQJPEoWvuKY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PJTQJPEoWvuKY.gif,Cruel Intentions Parallels GIF,a woman in a dress standing in front of a crowd,Neutral,Happiness
ysoK6qc1xpNxm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ysoK6qc1xpNxm.gif,Scared Who Framed Roger Rabbit GIF,a cartoon character in a red dress and a white rabbit,Neutral,Sadness
asLOZFUdcYsfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/asLOZFUdcYsfK.gif,Howard The Duck 80S GIF,a white cat with a pink shirt,Neutral,Sadness
1310XHyc6yC6ju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1310XHyc6yC6ju.gif,Neverending Story Wink GIF,a stuffed animal laying on a floor,Neutral,Sadness
k90nbKSCPUfra,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/k90nbKSCPUfra.gif,classic west side story GIF,a woman in a purple dress,Neutral,Sadness
jPJz9s6VAqLLi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jPJz9s6VAqLLi.gif,Happy Chris Farley GIF,a man in a life vest,Neutral,Happiness
qUrOyBLlXGwXS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qUrOyBLlXGwXS.gif,Jennifer Lawrence Film GIF by Mic,a woman with long blonde hair and a white shirt,Neutral,Happiness
cuRKusHF9CfLK9ERCb,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/cuRKusHF9CfLK9ERCb.gif,Tom Cruise Stunt GIF by Mission: Impossible,a man in a suit and sunglasses is holding a gun,Sadness,Sadness
olzqYUAaUowBa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/olzqYUAaUowBa.gif,Scared The Road To El Dorado GIF,the princess and the prince,Neutral,Happiness
FcLy8GpsFyUog,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FcLy8GpsFyUog.gif,Fred Astaire GIF by Maudit,a man in a suit is dancing in a living room,Neutral,Happiness
j5QcmXoFWl4Q0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/j5QcmXoFWl4Q0.gif,Keanu Reeves Reaction GIF,a man with a smile,Neutral,Happiness
xTiTnB3a61IMwShHmE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xTiTnB3a61IMwShHmE.gif,Oh No Omg GIF,a woman in a dress and gloves standing in a room,Neutral,Happiness
oXcOeuhsXlOSrSHMPw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/oXcOeuhsXlOSrSHMPw.gif,Aidy Bryant Hollywood GIF by Film Independent Spirit Awards,a woman in a black dress standing on a stage,Neutral,Sadness
GY5xMevFOGi1a,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GY5xMevFOGi1a.gif,Rudolph The Red Nosed Reindeer Christmas GIF,a man is standing in a room with a bunch of presents,Neutral,Happiness
d8A7MUMOydhhC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/d8A7MUMOydhhC.gif,Elizabeth Taylor Congrats On Your Face Congrats One Everythin GIF by Maudit,a black and white photo of a woman,Neutral,Happiness
FvgJBCT7mKTKM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FvgJBCT7mKTKM.gif,Angry Djimon Hounsou GIF,a man is walking down a hill,Neutral,Happiness
HFyDr6tKVe90Y,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyDr6tKVe90Y.gif,Ethan Embry Dancing GIF,a man in a red suit,Neutral,Happiness
9Cj0oZUR3VslO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9Cj0oZUR3VslO.gif,Star Wars Episode 6 GIF,a woman with a hoodie and a man with a hoodie,Neutral,Sadness
bl2FKRXQaFgf6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/bl2FKRXQaFgf6.gif,serious django unchained GIF,a man standing in a doorway with a candle,Neutral,Happiness
jGtZbC0thruow,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jGtZbC0thruow.gif,King Kong Film GIF by hoppip,a man is flying over a city,Neutral,Happiness
PpCyq0bsGhERO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpCyq0bsGhERO.gif,mean girls whatever GIF,a girl with a pink shirt and a pink shirt,Neutral,Sadness
Hi2zvNbyWsFaM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Hi2zvNbyWsFaM.gif,Romeo And Juliet Crying GIF,a man in a floral shirt is sitting on a couch,Neutral,Sadness
4Ra6jnDDOVdNS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4Ra6jnDDOVdNS.gif,The Breakfast Club Smoking GIF,a woman sitting on a chair,Neutral,Happiness
x755LoyTt9dUk,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/x755LoyTt9dUk.gif,Now Playing Movie Theater GIF by Film at Lincoln Center,a man standing in front of a building,Neutral,Happiness
13S1lWb5qheNBC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13S1lWb5qheNBC.gif,Leonardo Dicaprio Dreaming GIF,a black object on a table,Neutral,Sadness
l0Ex3ijvSsICmvOLK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0Ex3ijvSsICmvOLK.gif,Jack Lemmon Film GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,Neutral,Sadness
nLD20OgpndiEw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nLD20OgpndiEw.gif,Sunset Boulevard Smoking GIF,a black and white photo of a man in a suit,Neutral,Sadness
3uVDKeNFhgksU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3uVDKeNFhgksU.gif,the royal tenenbaums thank you GIF,two young boys looking through a chain link fence,Neutral,Sadness
f8oqjTlp0PdMA,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/f8oqjTlp0PdMA.gif,Arnold Schwarzenegger Shut Up GIF,a man in a suit and tie is talking,Neutral,Happiness
rbmQ6CRJERE3K,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rbmQ6CRJERE3K.gif,The Fifth Element GIF,a woman with red hair,Neutral,Happiness
12KlG0o01FZNQs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12KlG0o01FZNQs.gif,Sad Michael Fassbender GIF by The Good Films,a man standing in the rain,Neutral,Sadness
3oKHW5HcygwWE8XgHK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oKHW5HcygwWE8XgHK.gif,the sandlot kiss GIF,a man with no shirt,Sadness,Sadness
WY3dCO9TlqwaQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WY3dCO9TlqwaQ.gif,Kerry Washington Films GIF,a woman with short hair and a white dress,Neutral,Happiness
u7uiWWbRFC2TC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/u7uiWWbRFC2TC.gif,Scarlett Johansson Movie GIF,a woman with a surprised expression,Neutral,Happiness
HY2d8hQZMbMju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HY2d8hQZMbMju.gif,debbie reynolds film GIF,a woman with blonde hair and a brown jacket,Neutral,Happiness
smGtEdVjeQysg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/smGtEdVjeQysg.gif,Back To The Future Nike GIF,a man sitting in a car,Neutral,Sadness
